#separator:tab
#html:true
#deck:AWS SAA-C03
#notetype:Basic
#columns:Front	Back	Tags
Cost Anomaly DetectionとAWS Budgetsの違いは？	<b>Cost Anomaly Detection</b>：MLでコスト異常を自動検知、メール/SNS通知<br><b>Budgets</b>：手動で閾値設定	aws-saa cost
Kinesis Data StreamsとFirehoseの使い分けは？	<table><tr><th></th><th>Streams</th><th>Firehose</th></tr><tr><td>リアルタイム</td><td>ミリ秒</td><td>準リアルタイム</td></tr><tr><td>管理</td><td>手動シャード</td><td>フルマネージド</td></tr><tr><td>保持</td><td>最大365日</td><td>なし</td></tr><tr><td>宛先</td><td>自由</td><td>S3/Redshift等固定</td></tr></table>	aws-saa analytics
DAXとElastiCacheの使い分けは？	<b>DAX</b>：DynamoDB専用、ミリ秒→マイクロ秒、読み取り集中向け<br><b>ElastiCache</b>：RDS等のキャッシュ。Redis（永続化・マルチAZ）vs Memcached（シンプル・水平）	aws-saa database
NoSQLの選択肢（DynamoDB / DocumentDB / Neptune / Timestream / QLDB）は？	<b>DynamoDB</b>：大規模Key-Value<br><b>DocumentDB</b>：ドキュメント<br><b>Neptune</b>：グラフ<br><b>Timestream</b>：時系列<br><b>QLDB</b>：台帳	aws-saa database
AuroraとAurora Serverless v2の使い分けは？	<b>Aurora</b>：常時起動・固定キャパ・安定トラフィック<br><b>Serverless v2</b>：自動スケール・予測不能・開発環境向け	aws-saa database
EBS：HDD系の制約とio3について	<b>st1/sc1</b>はブートボリュームに使用不可。<b>io3は存在しない</b>（試験トラップ）	aws-saa storage
EBS Multi-Attachの条件は？	<b>io1/io2のみ</b>。同一AZ内・最大16インスタンス。クラスタ対応ファイルシステムが必要	aws-saa storage
EBS RAID0とRAID1の違いは？	<b>RAID0</b>：パフォーマンス最大化、冗長性なし<br><b>RAID1</b>：ミラーリング、冗長性あり	aws-saa storage
S3転送高速化3サービスの使い分けは？	<b>Transfer Acceleration</b>：S3アップロード高速化（エッジ経由）<br><b>CloudFront</b>：S3ダウンロード高速化<br><b>Global Accelerator</b>：EC2/ALBへ・固定Anycast IP	aws-saa storage
ECSとEKSの比較・選び方は？	<table><tr><th></th><th>ECS</th><th>EKS</th></tr><tr><td>基盤</td><td>AWS独自</td><td>Kubernetes</td></tr><tr><td>学習コスト</td><td>低</td><td>高</td></tr><tr><td>移植性</td><td>AWS依存</td><td>マルチクラウド</td></tr></table>K8s・マルチクラウド→EKS / シンプル→ECS / サーバー不要→Fargate	aws-saa compute
2026-05-14 キーワード判断まとめ	DynamoDBキャッシュ→DAX / RDSキャッシュ→ElastiCache(Redis) / S3アップロード→Transfer Acceleration / EC2固定IP→GA / オンプレ安定→DX / 簡単→VPN / K8s→EKS / シンプル→ECS+Fargate	aws-saa review
Standard-IAとGlacier Instant Retrievalの違いは？	<table><tr><th></th><th>Standard-IA</th><th>Glacier Instant</th></tr><tr><td>用途</td><td>低頻度・即時取得</td><td>超低頻度アーカイブ・即時</td></tr><tr><td>最小保存</td><td>30日</td><td>90日</td></tr><tr><td>取得料</td><td>あり</td><td>高め</td></tr></table>	aws-saa storage
Intelligent-Tieringの特徴と試験ポイントは？	アクセスパターン<b>予測不能</b>向け。監視料あり、<b>取得料無料</b>。内部Tierで自動移動。<br>不明→Intelligent-Tiering / 取得料払いたくない→同 / 月1回低頻度→Standard-IA / 年1-2回即時→Glacier Instant	aws-saa storage
gp2とgp3の違いは？	<table><tr><th></th><th>gp2</th><th>gp3</th></tr><tr><td>IOPS</td><td>サイズ連動(3/GB)</td><td>独立設定</td></tr><tr><td>コスト</td><td>普通</td><td>約20%安（推奨）</td></tr></table>	aws-saa storage
io1とio2の違い・試験ポイントは？	<b>io2</b>：耐久性99.999%（5ナイン）、IOPS/GB最大500:1<br>コスパ一般→gp3 / 64,000 IOPS→io1/io2 / Multi-Attach→io1/io2 / 最高耐久→io2	aws-saa storage
SGとNACLの詳細比較（試験向け）は？	<table><tr><th></th><th>SG</th><th>NACL</th></tr><tr><td>レベル</td><td>インスタンス</td><td>サブネット</td></tr><tr><td>状態</td><td>ステートフル</td><td>ステートレス</td></tr><tr><td>ルール</td><td>許可のみ</td><td>許可・拒否</td></tr></table>特定IP拒否→NACL / VPC全体→Network Firewall	aws-saa networking
NACLステートレスで忘れがちなことは？	レスポンスのアウトバウンドも<b>別途明示許可</b>が必要。エフェメラルポート（1024-65535）の許可を忘れない	aws-saa networking
VPCエンドポイント：ゲートウェイ型とインターフェース型の違いは？	<b>ゲートウェイ型</b>：S3・DynamoDBのみ、<b>無料</b>、ルートテーブル、オンプレ不可<br><b>インターフェース型（PrivateLink）</b>：ほぼ全サービス、有料、ENI作成、オンプレ可（DX/VPN経由）	aws-saa networking
VPCエンドポイント試験シナリオの答えは？	S3・コスト最小→ゲートウェイ型<br>CloudWatchプライベート→インターフェース型<br>自社SaaS公開→PrivateLink+NLB<br>オンプレからAWSサービス→インターフェース型	aws-saa networking
Lambda Function URLとAPI Gatewayの使い分けは？	<b>Function URL</b>：単一Lambda・Lambda料金のみ・IAM or なし・throttling/WAF/カスタムドメインなし<br><b>API Gateway</b>：複数Lambda・throttling/WAF/Cognito/キャッシュあり・高コスト<br>Webhookのみ→Function URL / WAF等必要→API Gateway	aws-saa serverless
